(22) F5ZIN T10M;29.130 MHz Tone 131.8 Hz , 145.400 MHz Tone 71.9 Hz<br>F5NLG;#icon-503-4186F0;-3.4641078;48.5562467;0
RRF;Tête de Réseau   http://rrf.f5nlg.ovh;#icon-960-7C3592;-3.6466781;49.2601313;0
(17) F1ZRT V;145.350 MHz Tone 162.2 Hz<br>F4HES;#icon-503-DB4436;-1.0082102;45.5983406;0
(49) F6JSP V;145.2875 MHz Tone 203.5 Hz;#icon-503-DB4436;-0.2899629;47.4715605;0
(55) F5ZQV V;145.4125 MHz Tone 127.3 Hz<br>F5NLG;#icon-503-DB4436;5.8261871;48.9643287;0
(62) F5ZGJ V;145.350 MHz Tone 123 Hz<br>F4HTN;#icon-503-DB4436;2.9094887;50.451766;0
(35) F1ZHH V;144.525 MHz Tone 71.9 Hz<br>F1TZO;#icon-503-DB4436;-2.0549583;48.6347237;0
(79) F5ZRE V;145.3125 MHz Tone 103.5 Hz<br>F5LRQ;#icon-503-DB4436;-0.6557465;46.86113;0
(29) F6CIU V;145.325 MHz Tone 123 Hz;#icon-503-DB4436;-4.550904;48.6094478;0
(29) F1ZRA 10M;29.170 MHz Tone 131.8 Hz<br>F4ELI;#icon-503-DB4436;-4.7333694;48.4342904;0
(67) F1ZDD T10M;430.2375 MHz + 9.4 MHz / 50.520 MHz / 29.160 MHz Tone 67Hz<br>F5SWB;#icon-503-4186F0;7.4572288;48.548883;0
(38) F6IRG 10M;29.140 MHz Tone 131.8 Hz;#icon-503-F8971B;5.0533652;45.3896493;0
(33) F5LCT V;145.350 MHz Tone 123 Hz;#icon-503-DB4436;-1.1168289;45.0051076;0
(22) F5ZMU U;432.975 MHz Tone 71.9 Hz<br>F6HRP;#icon-503-DB4436;-3.1259537;48.5611587;0
(60) F1ZCY T;145.400 MHz / 430.300 MHz + 1.6 MHz Tone 123 Hz<br>F1PRY;#icon-503-F8971B;2.0005417;49.3718669;0
(80) F5KOU V;145.225 MHz Tone 123 Hz<br>F4EHY;#icon-503-DB4436;2.6844406;49.9900839;0
(12) F5ZGE V;144.6375 MHz Tone 71.9 Hz<br>F5FPI;#icon-503-DB4436;2.5817577;44.3553941;0
(53) F1ZQN V;145.3875 MHz Tone 103.5 Hz<br>F1EVM;#icon-503-DB4436;-0.7890308;48.4135146;0
(22) F1ZQQ V;145.350 MHz Tone 71.9 Hz<br>F4GGU;#icon-503-DB4436;-2.8815079;48.6059008;0
(60) F1ZKG 10M;RH6 29.670 MHz - 100 kHz Tone 131.8 Hz<br>F1PRY;#icon-503-F8971B;2.0395088;49.3336245;0
(22) F1ZNW R;430.4375 + 9.4MHz Tone 71.9 Hz<br>F1BSR;#icon-503-4186F0;-2.5349236;48.5582048;0
(66) F0GVD V;145.3375 MHz Tone 74.4 Hz;#icon-503-F8971B;2.07515;42.5777499;0
(QC) VA2NRJ V;145.550 MHz Tone 250.3 Hz;#icon-503-DB4436;-73.3827757;45.5728555;0
