Indicatif;Type;Description;Tone;Locator;Longitude;Latitude;Sysop;Prenom
(60) F1NQP H;Hotspot;432.975 MHz;71.9 Hz;JN19gl;2.5487928;49.4713695;;Jean jacques
(60) F5HCC H;Hotspot;432.975 MHz;71.9 Hz;JN09xe;1.9759026;49.2062759;;Fabrice
(35) F1DKN H;Hotspot;432.900 MHz;71.9 Hz;IN98de;-1.7322768;48.1766785;;Paul
(78) F4AID H;Hotspot;432.975 MHz;71.9 Hz;JN08xs;1.9262214;48.7650309;;Stephane
(71) F6IKY V;Link;145.550 MHz;203.5 Hz;JN26op;5.2436227;46.6334818;;Stephane
(61) F0GND H;Hotspot;144.5375 MHz;88.5 Hz;IN98wr;-0.1231075;48.7175143;;Patrick
(53) F1ZQW V;Link;145.3625 MHz;103.5 Hz;IN98nc;-0.8864594;48.0978018;F1EVM;Jean-francois
(84) F5LLJ U;Link;432.975 MHz;71.9 Hz;JN23lw;4.9947282;43.9273499;;Jean-francois
(39) F6ECN H;Hotspot;439.500 MHz;71.9 Hz;JN26rr;5.4524835;46.7466496;;Roland
(28) F1DSO H;Hotspot;144.925 MHz ;82.5 Hz;JN08rk;1.4669524;48.439575;;Gerard
(53) F0EAZ H;Hotspot;145.2375 MHz;103.5 Hz;IN98mh;-0.9388672;48.2968738;;Albert
(28) F0GEX H;Hotspot;145.2375 MHz;82.5 Hz;JN08ql;1.3576149;48.466226;;Olivier
(26) F1NUU H;Hotspot;434.975 MHz;123 Hz;JN24ji;4.7682973;44.348592;;
(26) F6ELZ H;Hotspot;144.975 MHz;71.9 Hz;JN24ku;4.8951651;44.8363309;;Michel
(12) F5GJG H;Hotspot;432.975 MHz;71.9 Hz;JN14mc;3.0791797;44.0994098;;Christian
(92) F4ICM H;Hotspot;432.975 MHz;71.9 Hz;JN18dt;2.3107766;48.8129364;;Francois
(94) F4GOR V;Link;145.350 MHz;94.8 Hz;JN18es;2.3874864;48.7602504;;Francois
(27) F4GOR H;Hotspot;145.350 MHz;192.8 Hz;JN09gi;0.5204382;49.3546828;;Dominique
(2B) TK4RB V;Link;145.400 MHz;71.9 Hz;JN42sj;9.5189436;42.3886021;;Dominique
(84) F0GPN V;Link;144.975 MHz;71.9 Hz;JN23kw;4.8414841;43.9514696;;Dominique
(19) F4IFA H;Hotspot;438.000 MHz;71.9 Hz;JN05wh;1.8479281;45.3046034;;
(38) F1PFC H;Hotspot;432.975 MHz;67 Hz;JN25ue;5.7325992;45.1682327;;Joseph
(77) F4MXX H;Hotspot;144.975 MHz;71.9 Hz;JN18lj;2.9539103;48.3950026;;Alain
(SN) 6W1ST H;Hotspot;432.975 MHz;71.9 Hz;IK14gr;-17.4561395;14.7341699;;
(CO) HK6CF H;Hotspot;432.975 MHz;71.9 Hz;FJ24dk;-75.6671546;4.4582814;;
(22) F1ZQP R;Relais;438.775 MHz - 7.6 MHz;71.9 Hz;IN88ie;-3.2686016;48.1862914;F4VSJ;Johannes
(16) F0EZT H;Hotspot;144.925 MHz;71.9 Hz;JN05bq;0.1263629;45.6741019;;
(06) F5BLR H;Hotspot;145.300 MHz;79.7 Hz;JN33mw;7.0022746;43.9466043;;Jean-francois
(94) F5BLR H;Hotspot;145.300 MHz;79.7 Hz;JN18gt;2.5494772;48.7969878;;Jean-francois
(22) F1ZSC V;Link;145.4125 MHz;71.9 Hz;IN88mj;-2.9711055;48.3791835;F1RGC;Philippe
(22) F6FQB H;Hotspot;430.975 MHz;71.9 Hz;IN88ol;-2.7513466;48.4841149;;Stephane
(50) F4RTE H;Hotspot;432.975 MHz;71.9 Hz;IN99fo;-1.5723102;49.6090402;;Jean bernard
(26) F6FLQ H;Hotspot;144.9375 MHz;71.9 Hz;JN24lu;4.9411152;44.8657736;;Eric
(38) F6KJJ V;Link;145.3625 MHz;123 Hz;JN25rh;5.4851005;45.302703;;Eric
