Indicatif;Type;Description;Tone;Locator;Longitude;Latitude;Sysop;Prenom
(28) F2VZ H;Hotspot;432.975 MHz;71.9 Hz;JN08to;1.6399351;48.6055718;;Henri
(BE) ON4YI U;Link;430.175 MHz;74.4 Hz;JO20eh;4.3869653;50.3233781;;Henri
(49) F5ZCD V;Link;145.6125 MHz - 600 kHz;103.5 Hz;IN97pg;-0.7350203;47.2841151;F5IZJ;Reynald
(44) F5SSB V;Link;144.950 MHz;103.5 Hz;IN97jb;-1.1822126;47.0510386;;Reynald
(94) F6HYY H;Hotspot;144.5625 MHz;71.9 Hz;JN18ft;2.4308315;48.804523;;Alain
(33) F5RUE H;Hotspot;432.975 MHz;71.9 Hz;IN94qs;-0.5855939;44.7694289;;Richard
(BE) ON4KPN U;Link;439.450 MHz;74.4 Hz;JO20ak;4.0086203;50.4390197;;Richard
(BE) ON0THN U;Link;430.125 MHz;74.4 Hz;JO20di;4.2895407;50.3496084;ON4YI;
(91) F5NXT H;Hotspot;432.975 MHz;71.9 Hz;JN18fr;2.4765526;48.7091256;;Claude
(37) F6GUZ R;Relais;434.975 MHz ,144.5375 MHz;123 Hz;JN07ig;0.7376585;47.2843075;;Claude
(68) F1ZSB V;Link;145.3125 MHz;67 Hz;JN37ps;7.2966113;47.7903551;F4BRF;Pascal
(24) F6EKX V;Link;145.2625 MHz;71.9 Hz;JN04iu;0.7394996;44.8378401;;Pascal
(59) F4IKU V;Link;144.8375 MHz;123 Hz;JO10nq;3.1015942;50.6731628;;Pascal
(24) F1OYP U;Link;430.125 MHz;71.9 Hz;JN05gd;0.5278176;45.1450197;;Pascal
(24) F4KLI U;Link;430.275 MHz;71.9 Hz;JN05je;0.773729;45.1807962;F1OPG F1OYP;
(25) F8FFP V;Link;144.525 MHz;88.5 Hz;JN36dv;6.2665914;46.9156645;;
(79) F5LRQ H;Hotspot;432.950 MHz;71.9 Hz;IN96qu;-0.6557465;46.86113;;Robert
(57) F1ZSJ R;Relais;439.150 MHz - 7.6 MHz;71.9 Hz;JN39cd;6.1819625;49.1260187;F1APY;Jacques
(12) F8NHA H;Hotspot;144.975 MHz;71.9 Hz;JN14je;2.7909604;44.1802592;;Christian
(85) F5BJV V;Link;145.3625 MHz;103.5 Hz;IN96gk;-1.4894919;46.423405;;Christian
(76) F8TPJ H;Hotspot;432.975 MHz;71.9 Hz;JN09mu;1.0711228;49.8675992;;Pascal
(18) F5BRI H;Hotspot;431.300 MHz;71.9 Hz;JN17gg;2.5789833;47.2834081;;Jean-marc
(BE) ON2OD U;Link;430.025 MHz;131.8 Hz;JO20aq;4.0416499;50.6956782;;Jean-marc
(28) F5VMH V;Link;145.575 MHz;123 Hz;JN08qr;1.3524877;48.7394054;;Jean-marc
(37) F6CVM H;Hotspot;432.975 MHz;71.9 Hz;JN07ij;0.7114178;47.3917996;;
(06) F6FDY H;Hotspot;432.975 MHz;88.5 Hz;JN33or;7.2334437;43.7212653;;Eddie
(12) F1LRZ H;Hotspot;144.975 MHz;71.9 Hz;JN14mc;3.0459212;44.09871;;Jean-marc
(86) F4EKQ V;Link;145237.5 MHz;123 Hz;JN06ik;0.6699498;46.4374821;;Jean-marc
(79) F5PMW V;Link;145.4875 MHz;103.5 Hz;IN96se;-0.4764211;46.1807224;;Jean-marc
(95) F5PLS H;Hotspot;432.975 MHz;71.9 Hz;JN19fb;2.445361;49.0508721;;Thierry
(09) F1BBG V;Link;144.975 MHz;71.9 Hz;JN02tu;1.6046889;42.8515339;;Thierry
(85) F4HEX H;Hotspot;432.975 MHz;71.9 Hz;IN96ln;-1.0612363;46.553658;;
(BE) ON4LJA H;Hotspot;430.300 MHz;74.4 Hz;JO10qp;3.3933419;50.625597;;
(BE) ON0NR U;Link;430.300 MHz;131.8 Hz;JO20kj;4.848143;50.4080526;ON4LS;
(73) F1ZBN R;Relais;430.450 MHz + 9.4 MHz;71.9 Hz;JN25xp;5.9781403;45.6663725;F5ANZ;Antoine
(29) F4AHV H;Hotspot;144.975 MHz;71.9 Hz;IN88do;-3.7116119;48.6021014;;Jan francois
(40) F0CYQ V;Link;144.975 MHz;71.9 Hz;IN93iq;-1.308225;43.6678646;;Jan francois
(84) F5ZRU T;Transpondeur;439.950 MHz - 9.4 MHz | 145.3625 MHz;250.3 Hz;JN23mu;5.0293212;43.848902;F6DKA;Robert
(32) F8ASG H;Hotspot;432.975 MHz;71.9 Hz;IN93wr;-0.1009005;43.7480701;;Marcel
(87) F5RNZ H;Hotspot;144.975 MHz;88.5 Hz;JN05pu;1.2536441;45.8343618;;Michel
(13) F1SVV H;Hotspot;432.975 MHz;71.9 Hz;JN23np;5.1104955;43.6253391;;Denis
(68) F4BRF H;Hotspot;432.975 MHz;67 Hz;JN37ps;7.2966113;47.7903551;;Pascal
(BE) ON4WCJ H;Hotspot;434.250 MHz;74.4 Hz;JO20db;4.3228405;50.050256;;
(11) F1QM 10M;Link;29.210 MHz;71.9 Hz;JN13nd;3.1552262;43.1582971;;
(17) F5NXG V;Link;144.625 MHz;136.5 Hz;IN95tg;-0.4092694;45.2839778;;
(06) F1ZSX V;Link;145.275 MHz;123 Hz;JN33np;7.13044;43.6480035;F1ATB;Andre
(59) F5UGX V;Link;432.975 MHz;123 Hz;JO10xh;3.9220427;50.2999553;;Andre
(13) F1ZLC V;Link;145.300 MHz;71.9 Hz;JN23mn;5.0354732;43.5490339;F4HJA;David
(76) F4DBC H;Hotspot;144.975 MHz;71.9 Hz;JN09mm;1.0089516;49.5083748;;Lucien
(87) F5ZJE 6M;Relais;51.870 MHz - 0.6 MHz;88.5 Hz;JN05vt;1.8060326;45.8134608;F5VMR;Christopher
(80) F4VSI H;Hotspot;434.975 MHz;74.4 Hz;JO00te;1.6334413;50.1884133;;Pierre
(M) F4IJJ H;Hotspot;432.900 MHz;71.9 Hz;JN18ft;2.4546099;48.8053843;;
(62) F5GUH H;Hotspot;439.900 MHz;71.9 Hz;JO00sj;1.5716607;50.4107164;;
(59) F1ZKY R;Relais;145.6125 MHz - 0.6 MHz;123 Hz;JO10ex;2.3752206;50.9990718;F4VSE;Francisco
(33) F0FQL V;Link;145.350 MHz;82.5 Hz;IN94wo;-0.1320157;44.5844454;;Francisco
(59) F5KDB V;Link;144.900 MHz;123 Hz;JO10xh;3.9222572;50.2999655;F5UGX;Philippe
(02) F4GTT V;Link;145.3375 MHz;123 Hz;JN18qx;3.3418391;48.9999351;;Philippe
(46) F1ZNH T;Transpondeur;145.3125 MHz 439.7125 MHz;123.7 Hz;JN14ao;2.0051325;44.6066749;F4EYL;Pierre
(84) F1MHL H;Hotspot;431.975 MHz;71.9 Hz;JN23jw;4.8076106;43.9474695;;Serge
(91) F1TZO 10M;Link;29.120 MHz;192.8 Hz;JN18dp;2.3008158;48.6326262;;Serge
(M) F5NLG H;Hotspot;430.975 MHz;71.9 Hz;IN88hn;-3.3978102;48.5432897;;Jean-philippe
(27) F1ASM H;Hotspot;430.975 MHz;71.9 Hz;JN09ne;1.1046853;49.1975103;;Alain
(67) F5ZAU R;Relais;145.6125 MHz - 0.6 MHz;67 Hz;JN38pp;7.2927582;48.651665;F5SWB;Dimitri
(34) F6BTM H;Hotspot;430.975 MHz;71.9 Hz;JN13og;3.1669814;43.2750436;;Michel
(76) F4BPP H;Hotspot;430.975 MHz;71.9 Hz;JN09am;0.0763765;49.5195091;;David
(03) F5SHN V;Link;144.6625 MHz;103.5 Hz;JN16pn;3.2640314;46.5575389;;David
(33) F0FQL H;Hotspot;144.950 MHz;71.9 Hz;IN94vo;-0.1685767;44.593116;;Fernando
(09) F6DEV V;Link;144.950 MHz;71.9 Hz;JN02px;1.28414;42.9936061;;Fernando
(53) F1EVM H;Hotspot;432.975 MHz;71.9 Hz;IN98nc;-0.8905783;48.0968846;;Jean-francois
(83) F4HJX U;Link;431.500 MHz;123 Hz;JN23uj;5.7009325;43.3839625;;Jean-francois
(17) F6FOH V;Link;145.300 MHz;162.2 Hz;IN96je;-1.1918242;46.1877449;;Jean-francois
(972) FM1LF H;Hotspot;439.425 MHz;71.9 Hz;FK94lp;-61.0358333333334;14.6480555555556;;Evariste
(29) F1BHY V;Link;144.975 MHz;141.3 Hz;IN87fu;-3.533008;47.8739155;;Evariste
(66) F5ZRK V;Link;145.2625 MHz;74.4 Hz;JN12am;2.0369982;42.5154541;F4UEB;Gerard
(09) F6GZM V;Link;144.925 MHz;71.9 Hz;JN02vs;1.7525988;42.7701667;;Gerard
(85) F6KUF V;Link;144.925 MHz;103.5 Hz;IN96gq;-1.4437397;46.6693262;F4LVK;Joel
(40) F4IKI V;Link;145.3125 MHz;192.8 Hz;IN93pr;-0.6957983;43.7332232;;Joel
(94) F5ZSO V;Link;144.950 MHz;192.8 Hz;JN18et;2.4134003;48.8223973;F5LGW;Stephane
(59) F4IKU H;Hotspot;144.975 MHz;71.9 Hz;JO10nq;3.1015942;50.6731628;;
(CH) HB9GXP H;Hotspot;144.950 MHz;71.9 Hz;JN36lf;6.9853005;46.2141552;;
(32) F4DJC U;Link;432.975 MHz;71.9 Hz;JN03ds;0.2989307;43.7550883;;
(17) F1ZRT 10M;Link;29.150 MHz;131.8 Hz;IN95lo;-1.008355;45.5983368;F4HES;
(43) F1ZMV U;Link;430.400 MHz;123 Hz;JN24cw;4.1776667;44.9399879;F4GVA;Christian
